line,over,sport_baseball,sport_basketball,sport_basketball_first_half,sport_esports,sport_football,sport_football_player_prop,sport_hockey,sport_other,sport_soccer
2.5,0,False,False,False,False,False,False,False,False,True
1.5,1,False,False,False,False,False,False,False,False,True
3.5,0,False,False,False,False,False,False,False,False,True
4.5,0,False,False,False,True,False,False,False,False,False
5.5,0,False,False,False,True,False,False,False,False,False
6.5,0,False,False,False,True,False,False,False,False,False
4.5,1,False,False,False,True,False,False,False,False,False
5.5,1,False,False,False,True,False,False,False,False,False
6.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
135.5,1,False,True,False,False,False,False,False,False,False
132.5,1,False,True,False,False,False,False,False,False,False
134.5,1,False,True,False,False,False,False,False,False,False
138.5,1,False,True,False,False,False,False,False,False,False
135.5,1,False,True,False,False,False,False,False,False,False
136.5,1,False,True,False,False,False,False,False,False,False
137.5,1,False,True,False,False,False,False,False,False,False
143.5,1,False,True,False,False,False,False,False,False,False
142.5,1,False,True,False,False,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
3.5,1,False,False,False,True,False,False,False,False,False
4.5,1,False,False,False,True,False,False,False,False,False
4.5,1,False,False,False,True,False,False,False,False,False
5.5,1,False,False,False,True,False,False,False,False,False
6.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
154.5,0,False,True,False,False,False,False,False,False,False
156.5,0,False,True,False,False,False,False,False,False,False
158.5,0,False,True,False,False,False,False,False,False,False
155.5,0,False,True,False,False,False,False,False,False,False
142.5,1,False,True,False,False,False,False,False,False,False
143.5,1,False,True,False,False,False,False,False,False,False
154.5,0,False,True,False,False,False,False,False,False,False
151.5,0,False,True,False,False,False,False,False,False,False
152.5,0,False,True,False,False,False,False,False,False,False
153.5,0,False,True,False,False,False,False,False,False,False
3.5,1,False,False,False,True,False,False,False,False,False
4.5,0,False,False,False,True,False,False,False,False,False
155.5,0,False,True,False,False,False,False,False,False,False
156.5,0,False,True,False,False,False,False,False,False,False
157.5,0,False,True,False,False,False,False,False,False,False
158.5,0,False,True,False,False,False,False,False,False,False
169.5,0,False,True,False,False,False,False,False,False,False
168.5,0,False,True,False,False,False,False,False,False,False
170.5,0,False,True,False,False,False,False,False,False,False
146.5,0,False,True,False,False,False,False,False,False,False
145.5,0,False,True,False,False,False,False,False,False,False
147.5,0,False,True,False,False,False,False,False,False,False
148.5,0,False,True,False,False,False,False,False,False,False
149.5,1,False,True,False,False,False,False,False,False,False
151.5,1,False,True,False,False,False,False,False,False,False
143.5,0,False,True,False,False,False,False,False,False,False
142.5,0,False,True,False,False,False,False,False,False,False
141.5,0,False,True,False,False,False,False,False,False,False
144.5,0,False,True,False,False,False,False,False,False,False
152.5,1,False,True,False,False,False,False,False,False,False
4.5,1,False,False,False,True,False,False,False,False,False
6.5,0,False,False,False,True,False,False,False,False,False
5.5,0,False,False,False,True,False,False,False,False,False
4.5,1,False,False,False,True,False,False,False,False,False
5.5,1,False,False,False,True,False,False,False,False,False
6.5,0,False,False,False,True,False,False,False,False,False
3.5,0,False,False,False,True,False,False,False,False,False
4.5,0,False,False,False,True,False,False,False,False,False
1.5,0,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,0,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,True,False,False,False,False,False
143.5,0,False,True,False,False,False,False,False,False,False
144.5,0,False,True,False,False,False,False,False,False,False
142.5,1,False,True,False,False,False,False,False,False,False
163.5,0,False,True,False,False,False,False,False,False,False
162.5,1,False,True,False,False,False,False,False,False,False
169.5,1,False,True,False,False,False,False,False,False,False
170.5,1,False,True,False,False,False,False,False,False,False
168.5,1,False,True,False,False,False,False,False,False,False
167.5,1,False,True,False,False,False,False,False,False,False
4.5,1,False,False,False,True,False,False,False,False,False
5.5,0,False,False,False,True,False,False,False,False,False
6.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
138.5,0,False,True,False,False,False,False,False,False,False
139.5,0,False,True,False,False,False,False,False,False,False
151.5,0,False,True,False,False,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
153.5,0,False,True,False,False,False,False,False,False,False
152.5,0,False,True,False,False,False,False,False,False,False
154.5,0,False,True,False,False,False,False,False,False,False
144.5,0,False,True,False,False,False,False,False,False,False
143.5,0,False,True,False,False,False,False,False,False,False
153.5,0,False,True,False,False,False,False,False,False,False
152.5,0,False,True,False,False,False,False,False,False,False
151.5,0,False,True,False,False,False,False,False,False,False
149.5,0,False,True,False,False,False,False,False,False,False
150.5,0,False,True,False,False,False,False,False,False,False
154.5,0,False,True,False,False,False,False,False,False,False
145.5,1,False,True,False,False,False,False,False,False,False
150.5,1,False,True,False,False,False,False,False,False,False
145.5,1,False,True,False,False,False,False,False,False,False
139.5,1,False,True,False,False,False,False,False,False,False
165.5,1,False,True,False,False,False,False,False,False,False
165.5,0,False,True,False,False,False,False,False,False,False
148.5,1,False,True,False,False,False,False,False,False,False
149.5,1,False,True,False,False,False,False,False,False,False
160.5,1,False,True,False,False,False,False,False,False,False
133.5,0,False,True,False,False,False,False,False,False,False
132.5,0,False,True,False,False,False,False,False,False,False
142.5,1,False,True,False,False,False,False,False,False,False
141.5,1,False,True,False,False,False,False,False,False,False
140.5,1,False,True,False,False,False,False,False,False,False
164.5,1,False,True,False,False,False,False,False,False,False
167.5,0,False,True,False,False,False,False,False,False,False
166.5,0,False,True,False,False,False,False,False,False,False
165.5,0,False,True,False,False,False,False,False,False,False
150.5,0,False,True,False,False,False,False,False,False,False
148.5,0,False,True,False,False,False,False,False,False,False
149.5,0,False,True,False,False,False,False,False,False,False
147.5,0,False,True,False,False,False,False,False,False,False
150.5,1,False,True,False,False,False,False,False,False,False
151.5,1,False,True,False,False,False,False,False,False,False
149.5,0,False,True,False,False,False,False,False,False,False
148.5,0,False,True,False,False,False,False,False,False,False
146.5,0,False,True,False,False,False,False,False,False,False
147.5,0,False,True,False,False,False,False,False,False,False
144.5,0,False,True,False,False,False,False,False,False,False
145.5,0,False,True,False,False,False,False,False,False,False
164.5,0,False,True,False,False,False,False,False,False,False
166.5,0,False,True,False,False,False,False,False,False,False
163.5,0,False,True,False,False,False,False,False,False,False
168.5,0,False,True,False,False,False,False,False,False,False
162.5,1,False,True,False,False,False,False,False,False,False
161.5,1,False,True,False,False,False,False,False,False,False
136.5,0,False,True,False,False,False,False,False,False,False
137.5,0,False,True,False,False,False,False,False,False,False
138.5,0,False,True,False,False,False,False,False,False,False
138.5,1,False,True,False,False,False,False,False,False,False
137.5,1,False,True,False,False,False,False,False,False,False
162.5,0,False,True,False,False,False,False,False,False,False
163.5,0,False,True,False,False,False,False,False,False,False
164.5,0,False,True,False,False,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,0,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,0,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,1,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,1,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,1,False,False,False,False,False,False,False,False,True
113.5,1,False,False,True,False,False,False,False,False,False
234.5,1,False,True,False,False,False,False,False,False,False
114.5,1,False,False,True,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
112.5,1,False,False,True,False,False,False,False,False,False
